OBJECTID1,OBJECTID,COUNT,SHAPE_Length,SHAPE_Area
282,1312,1,1999.999937,249999.9842
283,1660,1,1999.999937,249999.9842
284,1384,2,1999.999937,249999.9842
285,1446,3,1999.999937,249999.9842
286,1517,1,2000.000593,250000.1483
287,1416,1,1999.999937,249999.9842
288,1422,1,1999.999937,249999.9842
289,1142,3,1999.999937,249999.9842
290,1511,1,1999.999937,249999.9842
291,1264,3,1999.999937,249999.9842
292,1207,1,1999.999937,249999.9842
293,1543,1,2000.000593,250000.1483
294,1268,1,1999.999937,249999.9842
295,1215,2,1999.999937,249999.9842
296,1342,1,1999.999937,249999.9842
297,1514,6,1999.999937,249999.9842
298,1255,1,1999.999937,249999.9842
299,1643,1,1999.999937,249999.9842
300,1696,2,1999.999937,249999.9842
301,1311,1,1999.999937,249999.9842
302,1367,2,1999.999937,249999.9842
303,1143,1,1999.999937,249999.9842
304,1553,1,2000.000593,250000.1483
305,1287,2,1999.999937,249999.9842
